Price,Size,Location,Air pollution,Noise pollution,Water,Electricity,Heating,Internet,Buy
cheap,small,village,none,none,yes,yes,no,no,yes
expensive,medium,town,low,low,yes,yes,yes,yes,yes
medium,medium,town,high,medium,no,no,no,no,no
cheap,big,city,none,medium,no,yes,yes,yes,no
medium,small,town,high,low,no,yes,no,no,yes
cheap,medium,city,none,high,no,no,yes,yes,no
medium,medium,village,none,none,yes,yes,no,yes,no
expensive,small,city,low,medium,yes,no,yes,yes,yes
cheap,small,village,none,none,yes,no,no,yes,yes
expensive,medium,town,high,high,yes,no,no,yes,no
medium,medium,village,low,none,no,yes,yes,yes,yes
