Price,Size,Location,Air pollution,Noise pollution,Water,Electricity,Heating,Internet,Buy
cheap,big,town,medium,low,yes,yes,no,no,yes
medium,medium,village,high,medium,yes,yes,yes,yes,no
expensive,big,city,high,none,no,no,no,yes,no
medium,medium,city,high,none,yes,no,yes,no,no
cheap,big,town,high,low,yes,yes,no,yes,yes
medium,small,city,high,medium,no,yes,yes,no,no
cheap,medium,town,none,high,no,no,yes,yes,no
cheap,medium,town,low,medium,yes,no,no,yes,yes
expensive,big,village,low,none,no,yes,yes,yes,no
cheap,medium,city,none,medium,no,no,yes,yes,no
cheap,small,village,none,medium,yes,yes,yes,no,yes
cheap,medium,village,medium,high,no,yes,yes,yes,no
expensive,small,town,none,medium,yes,no,no,yes,no
expensive,medium,village,high,medium,yes,yes,yes,yes,no
medium,big,village,medium,low,yes,no,no,no,no
expensive,medium,village,none,low,no,yes,yes,yes,no
medium,medium,town,low,low,yes,no,no,yes,no
medium,small,city,medium,high,yes,yes,yes,no,unknown
medium,big,city,high,low,yes,yes,no,no,yes
medium,big,village,high,low,yes,yes,no,no,no
expensive,small,village,low,none,no,no,yes,no,no
cheap,medium,city,low,medium,no,yes,no,yes,no
expensive,medium,village,medium,medium,yes,yes,yes,yes,no
medium,medium,city,none,low,no,no,no,no,no
expensive,small,town,none,high,yes,no,no,no,no
expensive,medium,city,medium,none,yes,no,no,yes,no
cheap,small,village,high,low,yes,yes,no,yes,yes
medium,big,city,medium,medium,no,no,yes,yes,no
cheap,small,town,low,medium,yes,yes,no,no,yes
cheap,medium,town,low,medium,no,no,yes,no,no
medium,big,city,none,medium,yes,no,yes,no,yes
expensive,small,village,none,none,no,yes,no,yes,no
expensive,small,town,none,none,no,yes,yes,no,no
expensive,big,village,low,low,yes,no,no,no,no
cheap,small,town,medium,none,no,yes,no,yes,no
expensive,medium,village,low,none,no,no,no,yes,no
cheap,small,town,none,high,no,no,yes,no,no
medium,medium,village,low,low,no,no,yes,yes,no
expensive,medium,town,high,high,no,no,yes,yes,no
cheap,small,city,low,low,no,no,yes,yes,no
medium,medium,city,none,high,yes,yes,yes,yes,yes
cheap,small,village,high,high,no,yes,no,yes,no
medium,small,city,low,high,yes,yes,no,yes,no
cheap,big,village,low,none,no,no,yes,no,no
expensive,big,town,low,low,yes,no,no,yes,no
cheap,small,village,low,high,no,no,no,yes,no
cheap,medium,town,medium,medium,yes,yes,no,no,yes
medium,small,village,none,low,yes,no,yes,yes,yes
medium,big,city,low,none,yes,no,no,no,unknown
cheap,big,town,none,medium,no,yes,no,no,no
expensive,big,village,high,medium,no,no,yes,yes,no
expensive,medium,city,high,low,yes,yes,yes,yes,no
expensive,small,city,low,low,no,no,yes,yes,no
medium,small,town,none,high,yes,no,yes,no,yes
expensive,medium,city,low,medium,yes,yes,yes,no,no
cheap,small,city,medium,none,yes,no,yes,yes,yes
expensive,small,town,high,low,no,yes,yes,yes,no
expensive,medium,town,none,none,yes,no,no,yes,no
medium,medium,town,none,low,no,yes,no,yes,no
cheap,big,town,medium,medium,no,yes,yes,no,no
medium,medium,village,medium,high,yes,yes,yes,yes,unknown
cheap,big,town,high,medium,yes,no,no,no,yes
expensive,medium,village,medium,low,yes,no,no,no,no
cheap,big,city,medium,high,no,yes,yes,yes,no
cheap,small,village,medium,low,no,yes,no,yes,no
medium,medium,city,medium,medium,no,no,yes,yes,no
medium,medium,town,none,low,yes,no,yes,yes,yes
cheap,big,village,none,medium,no,no,no,no,no
cheap,medium,village,low,low,no,yes,no,yes,no
cheap,medium,village,high,none,no,yes,no,no,no
expensive,medium,city,low,low,no,yes,no,yes,no
expensive,big,city,none,high,yes,no,no,no,no
medium,big,village,low,medium,yes,no,yes,no,yes
medium,big,town,low,high,no,no,no,no,no
expensive,medium,town,none,medium,yes,yes,no,yes,no
medium,small,town,medium,none,yes,no,yes,yes,unknown
medium,small,city,none,low,no,yes,yes,yes,no
cheap,big,town,high,medium,no,yes,yes,no,no
expensive,medium,village,high,none,no,no,no,yes,no
medium,medium,town,none,medium,no,no,yes,yes,no
cheap,small,city,medium,medium,yes,no,no,no,yes
expensive,small,village,low,low,yes,no,yes,yes,no
cheap,medium,city,low,high,no,yes,no,no,no
cheap,big,village,low,none,no,yes,yes,no,no
medium,medium,village,none,high,no,no,no,yes,no
cheap,big,village,high,high,no,yes,no,no,no
cheap,big,town,medium,none,no,yes,yes,no,no
medium,big,village,low,low,yes,no,yes,no,yes
medium,big,village,low,low,no,no,yes,no,no
medium,small,village,high,medium,yes,no,yes,yes,no
cheap,big,city,none,medium,no,yes,yes,yes,no
medium,medium,city,low,medium,yes,no,no,no,unknown
cheap,small,village,none,low,yes,yes,no,yes,yes
cheap,medium,village,high,high,yes,no,no,yes,yes
expensive,medium,city,none,high,yes,yes,yes,yes,no
cheap,medium,village,none,low,no,no,no,yes,no
medium,big,village,medium,low,no,no,no,no,no
expensive,medium,city,none,high,yes,no,no,yes,no
expensive,big,village,none,high,no,no,no,yes,no
expensive,big,town,none,none,yes,no,no,no,no
