Outlook,Temperature,Humidity,Wind
rain,hot,mild,strong
rain,hot,mild,weak
sunny,cold,weak,strong
rain,mild,mild,weak
cloudy,mild,strong,strong
sunny,cold,strong,weak
cloudy,hot,mild,mild
sunny,cold,weak,none
cloudy,hot,mild,weak
sunny,mild,weak,mild
rain,hot,strong,strong
rain,hot,mild,none
rain,mild,strong,none
sunny,hot,strong,none
sunny,cold,mild,strong
rain,cold,mild,none
sunny,cold,strong,none
cloudy,mild,mild,strong
rain,cold,mild,strong
rain,hot,mild,weak
sunny,hot,mild,strong
rain,hot,strong,none
cloudy,hot,mild,none
rain,hot,mild,mild
cloudy,mild,weak,weak
sunny,mild,strong,strong
cloudy,mild,strong,none
cloudy,hot,strong,none
sunny,hot,strong,strong
sunny,cold,mild,mild
sunny,mild,mild,weak
rain,hot,weak,mild
rain,mild,weak,mild
cloudy,mild,strong,none
cloudy,cold,strong,mild
sunny,mild,weak,weak
sunny,mild,strong,none
rain,mild,mild,strong
rain,hot,mild,weak
sunny,cold,weak,strong
cloudy,cold,mild,mild
rain,hot,weak,weak
cloudy,cold,mild,mild
rain,hot,mild,mild
sunny,hot,mild,mild
cloudy,mild,strong,none
cloudy,hot,mild,weak
cloudy,cold,weak,weak
cloudy,cold,weak,weak
sunny,cold,weak,none
rain,hot,mild,mild
rain,cold,mild,strong
sunny,mild,weak,strong
sunny,cold,mild,none
cloudy,hot,weak,mild
cloudy,cold,mild,none
sunny,cold,strong,none
sunny,mild,strong,weak
cloudy,mild,weak,mild
rain,hot,strong,mild
rain,cold,weak,mild
sunny,hot,weak,none
sunny,hot,strong,strong
sunny,cold,weak,none
rain,mild,strong,none
rain,mild,mild,none
sunny,hot,mild,mild
cloudy,cold,strong,none
rain,hot,mild,weak
sunny,mild,weak,strong
rain,cold,weak,strong
rain,cold,weak,strong
rain,mild,mild,strong
sunny,hot,mild,mild
sunny,mild,mild,weak
rain,mild,mild,strong
sunny,hot,strong,none
cloudy,mild,strong,mild
rain,cold,weak,mild
sunny,mild,mild,none
sunny,cold,strong,weak
cloudy,mild,mild,weak
cloudy,hot,mild,mild
rain,cold,weak,weak
sunny,cold,weak,mild
cloudy,cold,mild,weak
cloudy,hot,mild,mild
rain,cold,mild,none
sunny,mild,strong,weak
sunny,hot,weak,weak
sunny,mild,mild,mild
cloudy,cold,strong,mild
sunny,cold,strong,none
sunny,hot,strong,strong
rain,mild,mild,weak
cloudy,cold,strong,none
rain,mild,weak,none
sunny,mild,weak,weak
sunny,hot,weak,weak
cloudy,cold,weak,mild
cloudy,hot,strong,none
cloudy,hot,weak,none
sunny,hot,strong,mild
rain,cold,weak,mild
cloudy,hot,mild,strong
rain,cold,strong,mild
cloudy,cold,mild,weak
rain,cold,mild,strong
cloudy,mild,weak,none
cloudy,cold,mild,none
rain,cold,mild,weak
cloudy,hot,strong,mild
cloudy,mild,weak,none
cloudy,mild,weak,none
sunny,hot,mild,weak
cloudy,hot,weak,weak
rain,cold,mild,none
sunny,hot,mild,none
cloudy,hot,weak,strong
rain,cold,weak,none
rain,cold,mild,weak
sunny,cold,mild,none
sunny,mild,weak,weak
cloudy,mild,mild,mild
sunny,mild,weak,weak
sunny,hot,weak,weak
rain,hot,mild,none
cloudy,cold,weak,mild
sunny,cold,mild,none
rain,hot,mild,weak
cloudy,mild,strong,strong
rain,hot,strong,none
cloudy,hot,weak,strong
sunny,cold,strong,weak
rain,cold,weak,weak
sunny,hot,strong,weak
sunny,cold,weak,weak
cloudy,mild,strong,weak
rain,hot,strong,strong
sunny,mild,weak,weak
sunny,mild,mild,mild
rain,mild,weak,strong
rain,mild,weak,none
sunny,mild,strong,mild
rain,mild,weak,weak
rain,hot,weak,none
rain,mild,weak,mild
rain,mild,weak,strong
cloudy,mild,mild,weak
rain,hot,mild,weak
rain,mild,strong,strong
rain,mild,mild,weak
rain,hot,weak,strong
rain,mild,strong,none
sunny,mild,mild,weak
rain,cold,strong,none
cloudy,mild,mild,weak
rain,mild,strong,strong
sunny,hot,weak,none
cloudy,cold,strong,mild
sunny,cold,mild,weak
sunny,mild,weak,none
rain,mild,mild,none
sunny,cold,strong,weak
sunny,cold,weak,weak
cloudy,hot,strong,mild
rain,hot,strong,none
cloudy,cold,weak,none
rain,cold,strong,none
sunny,hot,weak,mild
cloudy,cold,strong,none
sunny,hot,weak,weak
cloudy,hot,mild,weak
cloudy,cold,strong,weak
cloudy,hot,strong,weak
cloudy,cold,weak,mild
sunny,hot,strong,weak
sunny,hot,strong,mild
cloudy,cold,strong,mild
sunny,cold,weak,mild
cloudy,mild,strong,mild
rain,hot,weak,none
rain,mild,mild,mild
sunny,hot,weak,weak
rain,cold,mild,mild
cloudy,mild,mild,mild
sunny,cold,mild,none
sunny,cold,mild,strong
cloudy,cold,strong,mild
cloudy,cold,strong,mild
cloudy,cold,strong,mild
sunny,hot,mild,strong
rain,hot,weak,none
sunny,mild,strong,none
cloudy,cold,strong,mild
rain,cold,weak,none
sunny,hot,mild,mild
cloudy,mild,weak,mild
cloudy,cold,mild,none
sunny,cold,strong,none
