Price,Size,Location,Air pollution,Noise pollution,Water,Electricity,Heating,Internet,Buy
medium,big,village,none,high,no,no,yes,no,no
cheap,small,town,low,medium,no,no,yes,no,no
medium,small,town,low,none,yes,yes,yes,no,yes
medium,small,city,low,low,no,no,yes,no,no
cheap,small,town,low,none,no,yes,yes,no,no
cheap,small,town,low,none,yes,yes,no,no,yes
medium,big,village,none,high,yes,no,yes,yes,no
medium,big,town,none,medium,yes,yes,yes,yes,yes
medium,small,village,none,low,yes,yes,no,yes,no
cheap,big,city,low,medium,yes,yes,yes,no,yes
expensive,big,town,low,low,no,no,no,yes,no
cheap,medium,village,none,none,yes,no,no,yes,yes
cheap,big,town,none,medium,no,no,yes,yes,no
medium,big,village,low,none,yes,yes,no,no,yes
medium,small,village,none,medium,no,no,yes,yes,no
expensive,medium,town,medium,low,yes,no,no,yes,no
cheap,big,village,none,medium,no,yes,yes,yes,no
medium,big,town,none,none,no,no,yes,yes,no
medium,big,village,high,low,yes,no,no,yes,no
cheap,big,city,low,low,yes,no,no,yes,yes
medium,big,town,medium,high,no,yes,yes,yes,no
medium,medium,city,high,none,no,yes,no,no,no
expensive,big,village,high,high,yes,no,no,no,no
expensive,small,town,none,high,yes,yes,yes,yes,no
cheap,small,city,low,none,yes,yes,yes,no,yes
medium,big,town,none,medium,yes,yes,no,yes,yes
medium,medium,city,none,high,no,yes,no,no,no
medium,big,village,none,medium,yes,no,no,no,no
medium,medium,town,low,medium,yes,no,no,yes,yes
cheap,small,village,low,low,yes,no,yes,yes,yes
cheap,small,village,high,medium,yes,no,yes,no,yes
medium,small,town,high,low,no,no,no,no,no
medium,small,town,none,medium,yes,no,yes,yes,yes
cheap,medium,town,high,low,yes,yes,no,no,yes
expensive,small,village,high,high,yes,no,no,yes,no
cheap,small,town,medium,low,yes,no,yes,no,yes
medium,small,village,low,none,no,yes,yes,yes,no
medium,small,town,low,medium,no,yes,no,yes,no
expensive,small,town,high,none,yes,no,yes,no,no
cheap,medium,city,high,high,yes,no,yes,yes,yes
cheap,small,town,medium,medium,no,yes,no,no,no
cheap,big,city,none,high,no,no,no,yes,no
expensive,medium,town,none,high,no,yes,yes,no,no
expensive,medium,town,medium,low,no,no,yes,yes,no
expensive,big,town,medium,none,yes,yes,no,yes,no
expensive,big,town,high,high,no,yes,yes,yes,no
cheap,small,town,medium,high,no,no,yes,no,no
cheap,small,village,medium,high,yes,yes,yes,yes,yes
medium,small,village,none,none,yes,yes,yes,no,no
expensive,small,town,low,low,no,no,yes,no,no
medium,small,town,low,medium,yes,no,yes,yes,yes
medium,medium,town,none,medium,no,no,yes,yes,no
expensive,medium,city,medium,low,yes,no,yes,yes,no
cheap,big,city,low,high,yes,yes,yes,no,yes
cheap,medium,town,high,high,no,no,no,yes,no
cheap,big,city,medium,medium,no,yes,no,yes,no
medium,big,village,medium,medium,yes,yes,yes,yes,no
medium,medium,city,medium,low,yes,yes,no,yes,yes
expensive,big,village,high,none,yes,no,yes,no,no
expensive,big,village,medium,low,no,yes,yes,no,no
cheap,big,village,low,none,no,no,yes,no,no
cheap,big,city,high,low,yes,no,yes,no,yes
expensive,big,village,high,high,yes,no,yes,yes,no
cheap,medium,village,high,high,no,no,yes,yes,no
medium,small,village,medium,none,no,no,no,no,no
medium,medium,village,none,none,no,no,no,no,no
medium,small,town,medium,medium,no,yes,yes,no,no
expensive,medium,city,medium,none,no,yes,yes,yes,no
expensive,big,town,low,none,yes,no,no,yes,no
medium,small,town,medium,low,no,no,yes,yes,no
expensive,big,village,medium,high,yes,no,no,yes,no
medium,medium,village,low,none,yes,yes,no,no,yes
cheap,big,town,high,none,yes,no,yes,no,yes
medium,big,city,none,none,no,yes,yes,no,no
medium,big,village,medium,high,yes,no,no,yes,no
medium,medium,village,low,high,yes,yes,no,yes,no
cheap,small,city,medium,low,yes,no,no,no,yes
cheap,small,city,low,low,no,yes,yes,yes,no
expensive,medium,city,low,medium,yes,yes,yes,yes,no
medium,medium,city,none,high,no,no,yes,yes,no
expensive,big,city,low,none,no,no,yes,yes,no
medium,medium,village,none,none,no,yes,yes,yes,no
expensive,big,town,none,medium,yes,no,no,no,no
medium,small,town,low,low,yes,no,no,yes,yes
cheap,small,village,medium,none,no,yes,yes,yes,no
medium,small,city,none,none,yes,no,no,no,no
medium,big,city,low,high,no,yes,no,no,no
expensive,small,city,medium,low,yes,yes,yes,no,no
cheap,small,village,low,medium,no,no,yes,yes,no
cheap,big,town,medium,none,yes,yes,no,no,yes
medium,big,village,low,high,yes,yes,yes,yes,no
expensive,medium,city,none,low,yes,no,yes,no,no
cheap,medium,town,low,medium,yes,no,no,no,yes
cheap,small,town,low,low,yes,no,no,yes,yes
cheap,small,city,high,medium,no,yes,no,no,no
cheap,small,village,high,none,yes,yes,no,yes,yes
cheap,medium,city,high,high,no,yes,yes,yes,no
expensive,small,town,medium,low,yes,no,yes,no,no
medium,big,town,medium,medium,no,yes,no,no,no
cheap,medium,village,none,medium,no,yes,yes,yes,no
medium,small,town,low,medium,yes,no,yes,no,yes
cheap,medium,town,high,medium,yes,no,no,yes,yes
medium,small,city,low,low,yes,yes,no,no,yes
medium,small,city,high,none,no,yes,no,yes,no
cheap,small,city,low,medium,no,yes,no,yes,no
cheap,big,village,high,high,yes,no,yes,no,yes
medium,big,village,medium,none,yes,yes,no,yes,no
medium,small,town,high,medium,yes,no,yes,no,no
medium,medium,village,medium,high,no,no,yes,no,no
medium,big,village,medium,high,yes,yes,no,yes,no
expensive,big,village,medium,medium,yes,no,yes,no,no
medium,medium,city,medium,medium,yes,yes,yes,no,no
medium,medium,village,none,low,yes,yes,yes,yes,no
expensive,small,village,medium,high,no,no,no,no,no
medium,medium,village,high,none,yes,yes,no,no,no
expensive,big,town,low,none,no,yes,no,no,no
expensive,big,city,high,none,yes,yes,no,yes,no
medium,small,town,low,high,yes,no,no,yes,yes
cheap,small,town,low,medium,yes,yes,yes,yes,yes
expensive,small,village,medium,none,yes,no,no,yes,no
medium,small,village,none,medium,yes,yes,no,yes,no
medium,small,town,none,high,no,yes,yes,no,no
cheap,medium,city,high,high,yes,yes,no,no,yes
cheap,medium,town,none,medium,yes,no,yes,yes,yes
cheap,big,town,medium,medium,no,yes,yes,yes,no
expensive,big,town,high,none,yes,no,yes,no,no
expensive,big,city,none,low,yes,yes,yes,yes,no
cheap,big,city,low,low,yes,yes,yes,no,yes
medium,big,village,none,high,yes,yes,yes,no,no
medium,small,city,high,none,no,yes,no,yes,no
expensive,medium,village,high,none,no,no,no,yes,no
cheap,small,village,high,high,no,yes,no,no,no
expensive,medium,town,none,medium,yes,no,no,yes,no
expensive,medium,town,medium,low,yes,no,no,yes,no
expensive,medium,town,none,low,no,yes,yes,no,no
expensive,big,city,low,high,no,no,no,no,no
expensive,big,city,low,high,yes,yes,yes,yes,no
expensive,big,city,high,medium,no,no,yes,yes,no
expensive,big,village,high,medium,yes,yes,yes,yes,no
cheap,small,city,low,high,yes,no,yes,yes,yes
cheap,small,village,medium,high,yes,no,yes,no,yes
medium,big,city,none,high,no,yes,no,no,no
medium,big,city,low,high,yes,yes,yes,yes,no
cheap,big,town,medium,low,no,yes,no,no,no
expensive,small,town,medium,high,no,yes,yes,no,no
medium,big,village,medium,low,no,yes,yes,no,no
cheap,medium,village,low,low,yes,no,no,yes,yes
medium,big,city,medium,medium,yes,yes,no,no,no
cheap,small,town,low,low,no,no,no,no,no
expensive,medium,city,medium,high,yes,yes,no,yes,no
medium,medium,city,high,high,no,no,yes,yes,no
cheap,big,town,none,low,yes,no,yes,yes,yes
expensive,big,town,high,none,yes,yes,no,no,no
medium,big,village,low,low,yes,yes,yes,yes,no
cheap,medium,town,high,none,no,yes,yes,yes,no
cheap,small,town,medium,high,no,yes,yes,no,no
medium,medium,village,medium,medium,yes,no,yes,no,no
expensive,medium,town,medium,none,no,no,no,yes,no
medium,small,town,high,none,yes,no,no,yes,yes
expensive,big,town,none,high,no,yes,yes,yes,no
expensive,small,city,high,medium,yes,yes,no,yes,no
cheap,big,village,high,medium,yes,yes,yes,yes,yes
medium,big,city,none,none,no,yes,yes,yes,no
medium,big,town,none,medium,no,no,yes,yes,no
cheap,medium,town,medium,none,yes,yes,no,no,yes
medium,small,town,low,medium,no,no,yes,no,no
cheap,medium,town,high,low,no,no,no,no,no
cheap,big,village,high,high,yes,no,no,no,yes
cheap,small,village,medium,high,yes,yes,yes,yes,yes
cheap,medium,village,none,high,no,yes,yes,yes,no
expensive,small,town,medium,none,no,yes,yes,no,no
medium,small,town,medium,none,yes,no,yes,yes,yes
medium,big,town,high,medium,no,no,no,yes,no
expensive,small,city,none,low,yes,no,no,no,no
medium,medium,town,none,medium,no,yes,no,yes,no
medium,medium,village,high,none,no,yes,yes,no,no
medium,big,town,none,medium,no,no,yes,no,no
medium,medium,town,low,high,yes,yes,yes,no,yes
cheap,big,village,high,low,yes,no,no,no,yes
cheap,medium,town,medium,low,yes,yes,no,no,yes
medium,small,town,low,high,yes,yes,yes,yes,yes
medium,small,city,high,none,no,yes,yes,no,no
cheap,big,village,low,high,yes,no,yes,yes,yes
expensive,big,town,none,none,yes,yes,no,no,no
cheap,medium,city,low,high,yes,yes,no,yes,yes
medium,big,city,low,none,yes,yes,no,no,yes
cheap,small,town,high,none,yes,yes,yes,no,yes
expensive,big,village,none,low,no,no,yes,yes,no
medium,big,village,medium,high,yes,no,yes,no,no
medium,big,town,high,medium,no,no,yes,no,no
expensive,medium,city,medium,high,no,no,no,yes,no
medium,small,city,high,low,no,no,yes,no,no
medium,big,city,high,high,no,no,yes,no,no
medium,medium,village,medium,high,no,no,no,no,no
expensive,small,city,low,low,no,yes,no,no,no
expensive,medium,town,medium,medium,yes,yes,yes,yes,no
